time	V(vout1)
6.973263107166337e-003	3.916929e-004
6.983503107166276e-003	1.029889e-003
6.993743107166215e-003	1.663912e-003
7.003983107166155e-003	2.291139e-003
7.014223107166094e-003	2.908973e-003
7.024463107166033e-003	3.514857e-003
7.034703107165972e-003	4.106283e-003
7.044943107165911e-003	4.680802e-003
7.055183107165850e-003	5.236035e-003
7.065423107165790e-003	5.769686e-003
7.075663107165729e-003	6.279544e-003
7.085903107165668e-003	6.763499e-003
7.096143107165607e-003	7.219548e-003
7.106383107165546e-003	7.645802e-003
7.116623107165486e-003	8.040497e-003
7.126863107165425e-003	8.401998e-003
7.137103107165364e-003	8.728811e-003
7.147343107165303e-003	9.019579e-003
7.157583107165242e-003	9.273101e-003
7.167823107165182e-003	9.488326e-003
7.178063107165121e-003	9.664363e-003
7.188303107165060e-003	9.800483e-003
7.198543107164999e-003	9.896120e-003
7.208783107164938e-003	9.950880e-003
7.219023107164877e-003	9.964535e-003
7.229263107164817e-003	9.937027e-003
7.239503107164756e-003	9.868471e-003
7.249743107164695e-003	9.759148e-003
